id_cliente,monto,ano,mes
CLIENTE001,100,2024,1
CLIENTE001,100,2024,2
CLIENTE001,100,2024,3
CLIENTE001,100,2024,4
CLIENTE001,100,2024,5
CLIENTE001,100,2024,6
CLIENTE001,100,2024,7
CLIENTE001,100,2024,8
CLIENTE001,100,2024,9
CLIENTE001,100,2024,10
CLIENTE001,100,2024,11
CLIENTE001,100,2024,12
CLIENTE002,200,2024,3
CLIENTE002,200,2024,4
CLIENTE002,200,2024,5
CLIENTE002,200,2024,6
CLIENTE002,200,2024,7
CLIENTE002,200,2024,8
CLIENTE002,200,2024,9
CLIENTE002,200,2024,10
CLIENTE003,150,2024,5
CLIENTE003,150,2024,6
CLIENTE003,150,2024,7
CLIENTE003,150,2024,8
CLIENTE003,150,2024,9
CLIENTE003,150,2024,10
CLIENTE003,150,2024,11
CLIENTE003,150,2024,12
CLIENTE004,120,2024,2
CLIENTE004,120,2024,3
CLIENTE004,120,2024,4
CLIENTE004,120,2024,5
CLIENTE004,120,2024,6
CLIENTE005,250,2024,7
CLIENTE005,250,2024,8
CLIENTE005,250,2024,9
CLIENTE005,250,2024,10
CLIENTE005,250,2024,11
CLIENTE005,250,2024,12
CLIENTE006,300,2024,1
CLIENTE006,300,2024,2
CLIENTE006,300,2024,3
CLIENTE007,80,2024,4
CLIENTE007,80,2024,5
CLIENTE007,80,2024,6
CLIENTE007,80,2024,7
CLIENTE007,80,2024,8
CLIENTE007,80,2024,9
CLIENTE007,80,2024,10
CLIENTE007,80,2024,11
CLIENTE007,80,2024,12
CLIENTE008,180,2024,8
CLIENTE008,180,2024,9
CLIENTE008,180,2024,10
CLIENTE008,180,2024,11
CLIENTE008,180,2024,12
CLIENTE009,220,2024,2
CLIENTE009,220,2024,3
CLIENTE009,220,2024,4
CLIENTE009,220,2024,5
CLIENTE009,220,2024,6
CLIENTE009,220,2024,7
CLIENTE009,220,2024,8
CLIENTE009,220,2024,9
CLIENTE010,90,2024,3
CLIENTE010,90,2024,4
CLIENTE010,90,2024,5
CLIENTE011,170,2024,1
CLIENTE011,170,2024,2
CLIENTE011,170,2024,3
CLIENTE011,170,2024,4
CLIENTE011,170,2024,5
CLIENTE011,170,2024,6
CLIENTE011,170,2024,7
CLIENTE011,170,2024,8
CLIENTE011,170,2024,9
CLIENTE011,170,2024,10
CLIENTE011,170,2024,11
CLIENTE011,170,2024,12
CLIENTE012,210,2024,5
CLIENTE012,210,2024,6
CLIENTE012,210,2024,7
CLIENTE012,210,2024,8
CLIENTE012,210,2024,9
CLIENTE012,210,2024,10
CLIENTE012,210,2024,11
CLIENTE013,130,2024,6
CLIENTE013,130,2024,7
CLIENTE013,130,2024,8
CLIENTE014,190,2024,4
CLIENTE014,190,2024,5
CLIENTE014,190,2024,6
CLIENTE014,190,2024,7
CLIENTE014,190,2024,8
CLIENTE014,190,2024,9
CLIENTE014,190,2024,10
CLIENTE014,190,2024,11
CLIENTE014,190,2024,12
CLIENTE015,160,2024,1
CLIENTE015,160,2024,2
CLIENTE015,160,2024,3
CLIENTE015,160,2024,4
CLIENTE015,160,2024,5
CLIENTE015,160,2024,6
CLIENTE015,160,2024,7
CLIENTE015,160,2024,8
CLIENTE015,160,2024,9
CLIENTE015,160,2024,10
CLIENTE015,160,2024,11
CLIENTE015,160,2024,12
CLIENTE016,140,2024,9
CLIENTE016,140,2024,10
CLIENTE016,140,2024,11
CLIENTE016,140,2024,12
CLIENTE017,110,2024,1
CLIENTE017,110,2024,2
